Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
WHITEWATER,29 Pasir Ris Street 72  #06-18 ,1,106,Strata,690000,-,6509,605,7-May-10,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518768,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #08-03 ,1,90,Strata,670000,-,7444,692,7-May-10,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529861,East Region,Tampines
THE EDEN AT TAMPINES,25 Tampines Street 34  #04-18 ,1,110,Strata,728000,-,6618,615,7-May-10,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529234,East Region,Tampines
WHITEWATER,29 Pasir Ris Street 72  #07-20 ,1,119,Strata,775000,-,6513,605,6-May-10,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518768,East Region,Pasir Ris
WHITEWATER,21 Pasir Ris Street 72  #07-04 ,1,105,Strata,715000,-,6810,633,6-May-10,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518764,East Region,Pasir Ris
EASTVALE,31 Pasir Ris Drive 3  #03-01 ,1,112,Strata,750000,-,6696,622,4-May-10,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519491,East Region,Pasir Ris
EASTVALE,35 Pasir Ris Drive 3  #03-05 ,1,102,Strata,753000,-,7382,686,3-May-10,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519493,East Region,Pasir Ris
WHITEWATER,25 Pasir Ris Street 72  #15-11 ,1,111,Strata,740000,-,6667,619,30-Apr-10,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518766,East Region,Pasir Ris
WHITEWATER,31 Pasir Ris Street 72  #02-23 ,1,106,Strata,695000,-,6557,609,30-Apr-10,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518769,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,5 Simei Street 4  #06-05 ,1,116,Strata,740000,-,6379,593,29-Apr-10,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529863,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #03-03 ,1,94,Strata,650000,-,6915,642,27-Apr-10,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
WHITEWATER,25 Pasir Ris Street 72  #14-12 ,1,117,Strata,760000,-,6496,603,26-Apr-10,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518766,East Region,Pasir Ris
WHITEWATER,29 Pasir Ris Street 72  #12-19 ,1,111,Strata,745000,-,6712,624,26-Apr-10,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518768,East Region,Pasir Ris
WHITEWATER,25 Pasir Ris Street 72  #13-10 ,1,107,Strata,725000,-,6776,629,26-Apr-10,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,Private,18,51,518766,East Region,Pasir Ris
